AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:économiste"	3	affixed	iste	n	domain
"NC:écorcheur"	4	affixed	eur	v	action
"NC:écoutant"	4	conversion	ant	v	action
"NC:écouteuse"	3	affixed	eur	v	action
"NC:écumeur"	4	affixed	eur	v	action
"NC:éditeur"	3	affixed	eur	v	action
"NC:éditorialiste"	3	affixed	iste	n	objCog
"NC:éducateur"	3	affixed	eur	v	action
"NC:éducatrice"	3	affixed	eur	v	action
"NC:égorgeur"	4	affixed	eur	v	action
"NC:égoutier"	2	affixed	ier	n	object
"NC:éjaculateur"	4	affixed	eur	v	action
"NC:élagueur"	2	affixed	eur	v	action
"NC:électeur"	1	affixed	eur	v	action
"NC:électricien"	2	affixed	ien	n	domain
"NC:électronicien"	3	affixed	ien	n	domain
"NC:éleveur"	1	affixed	eur	v	action
"NC:emballeur"	2	affixed	eur	v	action
"NC:embaumeur"	2	affixed	eur	v	action
"NC:embrasseur"	5	affixed	eur	v	action
"NC:embrouilleur"	5	affixed	eur	v	action
"NC:embryologiste"	3	affixed	iste	n	domain
"NC:émeutier"	1	affixed	ier	n	action
"NC:émigrant"	1	conversion	ant	v	action
"NC:emmerdeur"	4	affixed	eur	v	action
"NC:empailleur"	5	affixed	eur	v	action
"NC:empêcheur"	4	affixed	eur	v	action
"NC:empereur"	4	affixed	eur	n	object
"NC:employeur"	1	affixed	eur	v	action
"NC:empoisonneur"	4	affixed	eur	v	action
"NC:emprunteur"	1	affixed	eur	v	action
"NC:encadrant"	6	conversion	ant	v	action
"NC:encadreur"	2	affixed	eur	v	action
"NC:encaisseur"	2	affixed	eur	v	action
"NC:enchanteur"	4	affixed	eur	v	action
"NC:enchérisseur"	1	affixed	eur	v	action
"NC:enculeur"	5	affixed	eur	v	action
"NC:endocrinologiste"	3	affixed	iste	n	domain
"NC:endormeur"	5	affixed	eur	v	action
"NC:endosseur"	5	affixed	eur	v	action
"NC:enfileur"	5	affixed	eur	v	action
"NC:enfonceur"	5	affixed	eur	v	action
"NC:enjôleur"	5	affixed	eur	v	action
"NC:enlumineur"	2	affixed	eur	v	action
"NC:enquêteur"	1	affixed	eur	v	action
"NC:enquiquineur"	5	affixed	eur	v	action
"NC:enseignant"	3	conversion	ant	v	action
"NC:ensorceleur"	4	affixed	eur	v	action
"NC:entomologiste"	3	affixed	iste	n	domain
"NC:entraîneur"	6	affixed	eur	v	action
"NC:entraîneuse"	6	affixed	eur	v	action
"NC:entrant"	1	conversion	ant	v	action
"NC:entremetteur"	4	affixed	eur	v	action
"NC:entrepreneur"	2	affixed	eur	v	action
"NC:envahisseur"	4	affixed	eur	v	action
"NC:envoûteur"	4	affixed	eur	v	action
"NC:envoyeur"	4	affixed	eur	v	action
"NC:épargnant"	1	conversion	ant	v	action
"NC:épéiste"	6	affixed	iste	n	domain
"NC:épicier"	2	affixed	ier	n	object
"NC:épidémiologiste"	3	affixed	iste	n	domain
"NC:épigraphiste"	3	affixed	iste	n	domain
"NC:équarrisseur"	2	affixed	eur	v	action
"NC:équilibriste"	5	affixed	iste	n	property
"NC:escaladeur"	5	affixed	eur	v	action
"NC:escamoteur"	5	affixed	eur	v	action
"NC:essayeur"	6	affixed	eur	v	action
"NC:essayiste"	3	affixed	iste	n	objCog
"NC:esthéticien"	2	affixed	ien	n	domain
"NC:étalagiste"	2	affixed	iste	n	object
"NC:étameur"	2	affixed	eur	v	action
"NC:ethnobotaniste"	3	affixed	iste	n	domain
