AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:moqueur"	4	affixed	eur	v	action
"NC:moralisateur"	4	affixed	eur	v	action
"NC:mordeur"	5	affixed	eur	v	action
"NC:motivateur"	3	affixed	eur	v	action
"NC:motocycliste"	6	affixed	iste	n	domain
"NC:moucheur"	5	affixed	eur	v	action
"NC:mouleur"	2	affixed	eur	v	action
"NC:mourant"	4	conversion	ant	v	action
"NC:musicien"	3	affixed	ien	n	domain
"NC:mutant"	4	conversion	ant	v	action
"NC:mystificateur"	4	affixed	eur	v	action
"NC:nageur"	6	affixed	eur	v	action
"NC:narrateur"	4	affixed	eur	v	action
"NC:nattier"	5	affixed	ier	n	object
"NC:navetteur"	1	affixed	eur	n	action
"NC:navigant"	6	conversion	ant	v	action
"NC:nécromancien"	4	affixed	ien	n	domain
"NC:négociant"	2	conversion	ant	v	action
"NC:négociateur"	1	affixed	eur	v	action
"NC:neurobiologiste"	3	affixed	iste	n	domain
"NC:neurochirurgien"	3	affixed	ien	n	domain
"NC:neurologiste"	3	affixed	iste	n	domain
"NC:noceur"	4	affixed	eur	v	action
"NC:nouvelliste"	3	affixed	iste	n	objCog
"NC:nutritionniste"	3	affixed	iste	n	domain
"NC:objecteur"	1	affixed	eur	v	action
"NC:observant"	1	conversion	ant	v	action
"NC:observateur"	1	affixed	eur	v	action
"NC:oculiste"	2	affixed	iste	n	object
"NC:odontologiste"	2	affixed	iste	n	domain
"NC:offenseur"	4	affixed	eur	v	action
"NC:officiant"	4	conversion	ant	v	action
"NC:officier"	6	affixed	ier	n	object
"NC:officière"	5	affixed	ier	n	object
"NC:offrant"	1	conversion	ant	v	action
"NC:oiselier"	5	affixed	ier	n	object
"NC:ophtalmologiste"	3	affixed	iste	n	domain
"NC:opposant"	1	conversion	ant	v	action
"NC:oppresseur"	4	affixed	eur	v	action
"NC:opticien"	2	affixed	ien	n	domain
"NC:optométriste"	3	affixed	iste	n	domain
"NC:ordonnateur"	2	affixed	eur	v	action
"NC:organisateur"	1	affixed	eur	v	action
"NC:organiste"	3	affixed	iste	n	domain
"NC:orienteuse"	3	affixed	eur	v	action
"NC:orpailleur"	1	affixed	eur	v	action
"NC:orthodontiste"	2	affixed	iste	n	domain
"NC:orthopédiste"	3	affixed	iste	n	domain
"NC:orthophoniste"	3	affixed	iste	n	domain
"NC:ourdisseur"	2	affixed	eur	v	action
"NC:ouvreur"	6	affixed	eur	v	action
"NC:ouvreuse"	5	affixed	eur	v	action
"NC:ouvrier"	1	affixed	ier	v	action
"NC:ouvrière"	2	affixed	ier	v	action
"NC:pacificateur"	4	affixed	eur	v	action
"NC:pagayeur"	6	affixed	eur	v	action
"NC:paléontologiste"	3	affixed	iste	n	domain
"NC:pamphlétaire"	3	affixed	aire	n	objCog
"NC:panégyriste"	4	affixed	iste	n	objCog
"NC:panetier"	2	affixed	ier	n	object
"NC:papetier"	2	affixed	ier	n	object
"NC:parachutiste"	6	affixed	iste	n	domain
"NC:pareur"	2	affixed	eur	v	action
"NC:parieur"	1	affixed	eur	v	action
"NC:parleur"	4	affixed	eur	v	action
"NC:parolier"	3	affixed	ier	n	object
"NC:parolière"	3	affixed	ier	n	objCog
"NC:parqueteur"	2	affixed	eur	v	action
"NC:participant"	1	conversion	ant	v	action
"NC:passant"	1	conversion	ant	v	action
"NC:passementier"	2	affixed	ier	n	object
"NC:passementière"	5	affixed	ier	n	object
"NC:passeur"	6	affixed	eur	v	action
"NC:passeuse"	6	affixed	eur	v	action
"NC:pasticheur"	3	affixed	eur	v	action
"NC:pathologiste"	3	affixed	iste	n	domain
"NC:patineur"	6	affixed	eur	v	action
"NC:pâtissier"	2	affixed	ier	v	action
"NC:paveur"	2	affixed	eur	v	action
"NC:payeur"	1	affixed	eur	v	action
"NC:paysagiste"	3	affixed	iste	n	object
"NC:peaucier"	5	affixed	ier	n	object
"NC:peaussier"	2	affixed	ier	n	object
"NC:pécheur"	4	affixed	eur	v	action
"NC:pêcheur"	2	affixed	eur	v	action
"NC:pédaleur"	5	affixed	eur	v	action
"NC:pelleteur"	2	affixed	eur	v	action
"NC:pénaliste"	3	affixed	iste	n	domain
"NC:pendeur"	5	affixed	eur	v	action
"NC:penseur"	3	affixed	eur	v	action
"NC:penseuse"	3	affixed	eur	v	action
"NC:pépiniériste"	2	affixed	iste	n	object
"NC:percepteur"	2	affixed	eur	v	action
"NC:perceur"	5	affixed	eur	v	action
"NC:perchiste"	6	affixed	iste	n	domain
"NC:percussionniste"	3	affixed	iste	n	domain
"NC:perdant"	1	conversion	ant	v	action
"NC:perruquier"	2	affixed	ier	n	object
"NC:persécuteur"	4	affixed	eur	v	action
"NC:perturbateur"	1	affixed	eur	v	action
"NC:péteur"	5	affixed	eur	v	action
"NC:pharmacien"	2	affixed	ien	n	domain
"NC:philatéliste"	3	affixed	iste	n	domain
"NC:phonéticien"	3	affixed	ien	n	domain
"NC:physicien"	3	affixed	ien	n	domain
"NC:physiologiste"	3	affixed	iste	n	domain
"NC:physionomiste"	6	affixed	iste	n	domain
"NC:pianiste"	3	affixed	iste	n	domain
"NC:piégeur"	4	affixed	eur	v	action
"NC:pigiste"	3	affixed	iste	n	action
"NC:pilleur"	4	affixed	eur	v	action
"NC:pinailleur"	4	affixed	eur	v	action
"NC:piocheur"	2	affixed	eur	v	action
"NC:pipeur"	4	affixed	eur	v	action
"NC:piquier"	6	affixed	ier	n	object
"NC:pisseur"	5	affixed	eur	v	action
"NC:pisseuse"	5	affixed	eur	v	action
"NC:pitancier"	2	affixed	ier	n	object
"NC:placeur"	2	affixed	eur	v	action
"NC:placier"	2	affixed	ier	n	object
"NC:plagiaire"	4	affixed	aire	n	action
"NC:plaideur"	4	affixed	eur	v	action
"NC:plaignant"	1	conversion	ant	v	action
"NC:plaisancier"	1	affixed	ier	n	action
"NC:planchiste"	6	affixed	iste	n	domain
"NC:planificateur"	1	affixed	eur	v	action
"NC:planteur"	1	affixed	eur	v	action
"NC:plaqueur"	6	affixed	eur	v	action
"NC:plasticien"	3	affixed	ien	n	domain
"NC:plasticienne"	3	affixed	ien	n	domain
"NC:plastiqueur"	4	affixed	eur	v	action
"NC:plâtrier"	2	affixed	ier	n	object
"NC:pleureur"	5	affixed	eur	v	action
"NC:pleureuse"	4	affixed	eur	v	action
"NC:pleurnicheur"	4	affixed	eur	v	action
"NC:plieur"	2	affixed	eur	v	action
"NC:plongeur"	6	affixed	eur	v	action
"NC:pluvier"	5	affixed	ier	n	object
"NC:poissonnier"	2	affixed	ier	n	object
"NC:polémiste"	3	affixed	iste	n	objCog
"NC:policière"	5	affixed	ier	n	institution
"NC:polisseur"	2	affixed	eur	v	action
"NC:politicien"	3	affixed	ien	n	domain
"NC:pollueur"	1	affixed	eur	v	action
"NC:pompeur"	5	affixed	eur	v	action
"NC:pompiste"	2	affixed	iste	n	object
"NC:pondeur"	5	affixed	eur	v	action
"NC:pondeuse"	2	affixed	eur	v	action
"NC:pongiste"	3	affixed	iste	n	domain
"NC:pontonnier"	6	affixed	ier	n	object
"NC:porteur"	1	affixed	eur	v	action
"NC:porteuse"	5	affixed	eur	v	action
"NC:portraitiste"	3	affixed	iste	n	objCog
"NC:poseur"	6	affixed	eur	v	action
"NC:postier"	2	affixed	ier	n	institution
"NC:postulant"	1	conversion	ant	v	action
"NC:potier"	2	affixed	ier	n	object
"NC:poulinière"	1	affixed	ier	v	action
"NC:pourchasseur"	5	affixed	eur	v	action
"NC:pourfendeur"	4	affixed	eur	v	action
"NC:poursuivant"	6	conversion	ant	v	action
"NC:pourvoyeur"	1	affixed	eur	v	action
"NC:praticien"	1	affixed	ien	n	domain
"NC:pratiquant"	1	conversion	ant	v	action
"NC:précepteur"	3	affixed	eur	n	objCog
"NC:prêcheur"	4	affixed	eur	v	action
"NC:préfacier"	3	affixed	ier	n	objCog
"NC:préhistorien"	3	affixed	ien	n	domain
"NC:préparateur"	6	affixed	eur	v	action
"NC:présentateur"	3	affixed	eur	v	action
"NC:prêteur"	1	affixed	eur	v	action
"NC:prévaricateur"	4	affixed	eur	v	action
"NC:prieur"	1	affixed	eur	v	action
"NC:priseur"	2	affixed	eur	v	action
"NC:procédurier"	4	affixed	ier	n	action
"NC:procréateur"	4	affixed	eur	v	action
"NC:producteur"	3	affixed	eur	v	action
"NC:profanateur"	4	affixed	eur	v	action
"NC:professeur"	3	affixed	eur	v	action
"NC:profiteur"	4	affixed	eur	v	action
"NC:programmeur"	1	affixed	eur	v	action
"NC:projectionniste"	2	affixed	iste	n	action
"NC:promeneur"	4	affixed	eur	v	action
"NC:promeneuse"	5	affixed	eur	v	action
"NC:prometteur"	3	affixed	eur	v	action
"NC:promoteur"	1	affixed	eur	v	action
"NC:pronostiqueur"	6	affixed	eur	v	action
"NC:propagandiste"	3	affixed	iste	n	domain
"NC:propagateur"	4	affixed	eur	v	action
"NC:prospecteur"	1	affixed	eur	v	action
"NC:prothésiste"	2	affixed	iste	n	object
"NC:provocateur"	4	affixed	eur	v	action
"NC:psalmiste"	4	affixed	iste	n	objCog
"NC:psychosomaticien"	3	affixed	ien	n	domain
"NC:psychotechnicien"	3	affixed	ien	n	domain
"NC:publiciste"	3	affixed	iste	n	objCog
"NC:publieur"	5	affixed	eur	v	action
"NC:pugiliste"	6	affixed	iste	n	domain
"NC:punisseur"	5	affixed	eur	v	action
"NC:pupitreur"	5	affixed	eur	n	object
"NC:pyrotechnicien"	3	affixed	ien	n	domain
"NC:quémandeur"	4	affixed	eur	v	action
"NC:questionneur"	4	affixed	eur	v	action
"NC:quêteur"	4	affixed	eur	v	action
"NC:quincaillier"	2	affixed	ier	n	object
"NC:raboteur"	2	affixed	eur	v	action
"NC:racketteur"	4	affixed	eur	v	action
"NC:racoleur"	4	affixed	eur	v	action
"NC:raconteur"	4	affixed	eur	v	action
"NC:radiesthésiste"	3	affixed	iste	n	domain
"NC:radiologiste"	3	affixed	iste	n	domain
"NC:radiotélégraphiste"	6	affixed	iste	n	domain
"NC:radoteur"	4	affixed	eur	v	action
"NC:railleur"	4	affixed	eur	v	action
"NC:raisonneur"	4	affixed	eur	v	action
"NC:râleur"	4	affixed	eur	v	action
"NC:ramasseur"	2	affixed	eur	v	action
"NC:ramasseuse"	5	affixed	eur	v	action
"NC:ramoneur"	5	affixed	eur	v	action
"NC:randonneur"	1	affixed	eur	v	action
"NC:randonneuse"	2	affixed	eur	v	action
"NC:rappeur"	3	affixed	eur	v	action
"NC:raquetteur"	6	affixed	eur	n	domain
"NC:rassembleur"	4	affixed	eur	v	action
"NC:ratier"	5	affixed	ier	n	object
"NC:ravageur"	1	affixed	eur	v	action
"NC:ravisseur"	4	affixed	eur	v	action
"NC:réalisateur"	3	affixed	eur	v	action
"NC:réanimateur"	3	affixed	eur	v	action
"NC:receleur"	4	affixed	eur	v	action
"NC:recenseur"	1	affixed	eur	v	action
"NC:réceptionniste"	5	affixed	iste	n	action
"NC:recherchiste"	3	affixed	iste	n	action
"NC:récidiviste"	4	affixed	iste	v	action
"NC:récitant"	5	conversion	ant	v	action
"NC:récoltant"	1	conversion	ant	v	action
"NC:réconciliateur"	4	affixed	eur	v	action
"NC:reconstructeur"	1	affixed	eur	v	action
"NC:recruteur"	6	affixed	eur	v	action
"NC:rédacteur"	3	affixed	eur	v	action
"NC:redoublant"	1	conversion	ant	v	action
"NC:rééducateur"	5	affixed	eur	v	action
"NC:réformateur"	3	affixed	eur	v	action
"NC:regardeur"	4	affixed	eur	v	action
"NC:régisseur"	2	affixed	eur	v	action
"NC:régisseuse"	5	affixed	eur	v	action
"NC:régleur"	6	affixed	eur	v	action
"NC:relanceur"	6	affixed	eur	v	action
"NC:relayeur"	6	affixed	eur	v	action
"NC:relieur"	2	affixed	eur	v	action
"NC:rémouleur"	2	affixed	eur	v	action
"NC:rempailleur"	2	affixed	eur	v	action
"NC:remueur"	5	affixed	eur	v	action
"NC:rénovateur"	3	affixed	eur	v	action
"NC:réparateur"	2	affixed	eur	v	action
"NC:repasseur"	5	affixed	eur	v	action
"NC:repentant"	4	conversion	ant	v	action
"NC:répondant"	1	conversion	ant	v	action
"NC:repreneur"	1	affixed	eur	v	action
"NC:répresseur"	1	affixed	eur	v	action
"NC:reproducteur"	1	affixed	eur	v	action
"NC:requérant"	1	conversion	ant	v	action
"NC:résistant"	1	conversion	ant	v	action
"NC:resquilleur"	5	affixed	eur	v	action
"NC:rétameur"	2	affixed	eur	v	action
"NC:retoucheur"	2	affixed	eur	v	action
"NC:revenant"	4	conversion	ant	v	action
"NC:revendeur"	1	affixed	eur	v	action
"NC:rêveur"	4	affixed	eur	v	action
"NC:réviseur"	3	affixed	eur	v	action
"NC:révolutionnaire"	4	affixed	aire	n	action
"NC:revuiste"	5	affixed	iste	n	objCog
"NC:rhabilleur"	2	affixed	eur	v	action
"NC:ricaneur"	5	affixed	eur	v	action
"NC:rieur"	4	affixed	eur	v	action
"NC:rieuse"	5	affixed	eur	v	action
"NC:rimailleur"	4	affixed	eur	v	action
"NC:rimeur"	4	affixed	eur	v	action
"NC:rocailleur"	2	affixed	eur	n	object
"NC:rochassier"	5	affixed	ier	n	object
"NC:rockeur"	3	affixed	eur	n	domain
"NC:rockeuse"	5	affixed	eur	n	domain
"NC:rôdeur"	4	affixed	eur	v	action
"NC:romancier"	3	affixed	ier	n	objCog
"NC:rongeur"	1	affixed	eur	v	action
"NC:rôtisseur"	2	affixed	eur	v	action
"NC:rouleur"	6	affixed	eur	v	action
"NC:rouspéteur"	5	affixed	eur	v	action
"NC:ruminant"	1	conversion	ant	v	action
"NC:saboteur"	4	affixed	eur	v	action
"NC:sabotier"	2	affixed	ier	n	object
"NC:sabreur"	6	affixed	eur	v	action
"NC:sacrificateur"	4	affixed	eur	v	action
"NC:saigneur"	5	affixed	eur	v	action
"NC:saisonnier"	1	affixed	ier	n	object
"NC:saleur"	2	affixed	eur	v	action
"NC:sans-filiste"	6	affixed	iste	n	domain
"NC:satiriste"	3	affixed	iste	n	objCog
"NC:sauteur"	6	affixed	eur	v	action
"NC:sauveteur"	6	affixed	eur	v	action
"NC:sauveur"	4	affixed	eur	v	action
"NC:savetier"	2	affixed	ier	n	object
"NC:saxophoniste"	3	affixed	iste	n	domain
"NC:scalpeur"	5	affixed	eur	v	action
"NC:scaphandrier"	6	affixed	ier	n	object
"NC:scénariste"	3	affixed	iste	n	objCog
"NC:scieur"	2	affixed	eur	v	action
"NC:scripteur"	3	affixed	eur	v	action
"NC:sculpteur"	3	affixed	eur	v	action
"NC:sculptrice"	3	affixed	eur	v	action
"NC:secouriste"	6	affixed	iste	n	action
"NC:séducteur"	4	affixed	eur	v	action
"NC:sélectionneur"	6	affixed	eur	v	action
"NC:sellier"	2	affixed	ier	n	object
"NC:sermonneur"	4	affixed	eur	v	action
"NC:serrurier"	2	affixed	ier	n	object
"NC:servant"	6	conversion	ant	v	action
"NC:servante"	4	conversion	ant	v	action
"NC:serveuse"	2	affixed	eur	v	action
"NC:serviteur"	4	affixed	eur	v	action
"NC:shampouineur"	5	affixed	eur	v	action
"NC:sidérurgiste"	2	affixed	iste	n	domain
"NC:siffleur"	5	affixed	eur	v	action
"NC:signaleur"	6	affixed	eur	v	action
"NC:signataire"	1	affixed	aire	v	action
"NC:sitariste"	3	affixed	iste	n	domain
"NC:skieur"	6	affixed	eur	v	action
"NC:soignant"	1	conversion	ant	v	action
"NC:soigneur"	6	affixed	eur	v	action
"NC:soldeur"	2	affixed	eur	v	action
"NC:soliste"	3	affixed	iste	n	action
"NC:solliciteur"	3	affixed	eur	v	action
"NC:sonneur"	2	affixed	eur	v	action
"NC:sorcier"	4	affixed	ier	n	action
"NC:sorcière"	4	affixed	ier	n	action
"NC:soudeur"	2	affixed	eur	v	action
"NC:souffleuse"	5	affixed	eur	v	action
"NC:soupeur"	5	affixed	eur	v	action
"NC:sourcier"	4	affixed	ier	n	object
"NC:souscripteur"	1	affixed	eur	v	action
"NC:souteneur"	4	affixed	eur	v	action
"NC:soutier"	2	affixed	ier	n	object
"NC:spéculateur"	1	affixed	eur	v	action
"NC:sprinteur"	6	affixed	eur	v	action
"NC:squatteur"	1	affixed	eur	v	action
"NC:stagiaire"	6	affixed	aire	n	action
"NC:standardiste"	2	affixed	iste	n	object
"NC:statisticien"	3	affixed	ien	n	domain
"NC:sténotypiste"	3	affixed	iste	n	object
"NC:stratégiste"	3	affixed	iste	n	action
"NC:styliste"	3	affixed	iste	n	property
"NC:suborneur"	4	affixed	eur	v	action
"NC:suicidant"	4	conversion	ant	v	action
"NC:superviseur"	6	affixed	eur	v	action
"NC:suppléant"	6	conversion	ant	v	action
"NC:supporteur"	6	affixed	eur	v	action
"NC:suppresseur"	6	affixed	eur	v	action
"NC:surfeur"	6	affixed	eur	v	action
"NC:surveillant"	2	conversion	ant	v	action
"NC:survivant"	1	conversion	ant	v	action
"NC:tacticien"	6	affixed	ien	n	action
"NC:tacticienne"	3	affixed	ien	n	action
"NC:talmudiste"	3	affixed	iste	n	objCog
"NC:talonneur"	6	affixed	eur	v	action
"NC:tambourinaire"	4	affixed	aire	n	object
"NC:tambourineur"	5	affixed	eur	v	action
"NC:tankiste"	6	affixed	iste	n	object
"NC:tanneur"	2	affixed	eur	v	action
"NC:tapageur"	5	affixed	eur	v	action
"NC:tapeur"	5	affixed	eur	v	action
"NC:tapissier"	2	affixed	ier	n	object
"NC:tatoueur"	3	affixed	eur	v	action
"NC:tatoueuse"	5	affixed	eur	v	action
"NC:taulier"	6	affixed	ier	n	object
"NC:tavernier"	2	affixed	ier	n	object
"NC:taxidermiste"	3	affixed	iste	n	domain
"NC:taxinomiste"	3	affixed	iste	n	domain
"NC:technicien"	6	affixed	ien	n	domain
"NC:télégraphiste"	6	affixed	iste	n	object
"NC:téléphoniste"	2	affixed	iste	n	object
"NC:tentateur"	4	affixed	eur	v	action
"NC:terrassier"	2	affixed	ier	v	action
"NC:testeuse"	5	affixed	eur	v	action
"NC:théologien"	3	affixed	ien	n	domain
"NC:théoricien"	3	affixed	ien	n	domain
"NC:timbalier"	6	affixed	ier	n	object
"NC:timonier"	6	affixed	ier	n	object
"NC:tirailleur"	6	affixed	eur	v	action
"NC:tireur"	6	affixed	eur	v	action
"NC:tireuse"	6	affixed	eur	v	action
"NC:tisseur"	2	affixed	eur	v	action
"NC:toiletteur"	2	affixed	eur	v	action
"NC:tôlier"	2	affixed	ier	n	object
"NC:tombeur"	4	affixed	eur	v	action
"NC:tondeur"	2	affixed	eur	v	action
"NC:tonnelier"	2	affixed	ier	n	object
"NC:tordeur"	2	affixed	eur	v	action
"NC:tortionnaire"	4	affixed	aire	v	action
"NC:tourière"	2	affixed	ier	n	object
"NC:tourmenteur"	4	affixed	eur	v	action
"NC:tourneur"	2	affixed	eur	v	action
"NC:tractoriste"	3	affixed	iste	n	object
"NC:trafiquant"	1	conversion	ant	v	action
"NC:tragédien"	3	affixed	ien	n	domain
"NC:traîneur"	6	affixed	eur	v	action
"NC:transgresseur"	4	affixed	eur	v	action
"NC:transporteur"	1	affixed	eur	v	action
"NC:trapéziste"	5	affixed	iste	n	domain
"NC:traqueur"	4	affixed	eur	v	action
"NC:travailleur"	1	affixed	eur	v	action
"NC:travailleuse"	2	affixed	eur	v	action
"NC:trésorier"	2	affixed	ier	n	object
"NC:tricheur"	4	affixed	eur	v	action
"NC:tricoteur"	2	affixed	eur	v	action
"NC:trimardeur"	4	affixed	eur	v	action
"NC:triomphateur"	4	affixed	eur	v	action
"NC:tripier"	2	affixed	ier	n	object
"NC:tripoteur"	5	affixed	eur	v	action
"NC:tromboniste"	3	affixed	iste	n	domain
"NC:trompettiste"	3	affixed	iste	n	domain
"NC:trompeur"	4	affixed	eur	v	action
"NC:trousseur"	5	affixed	eur	v	action
"NC:trouveur"	4	affixed	eur	v	action
"NC:truqueur"	4	affixed	eur	v	action
"NC:tueur"	4	affixed	eur	v	action
"NC:turfiste"	2	affixed	iste	n	domain
"NC:tuyauteur"	2	affixed	eur	v	action
"NC:urbaniste"	3	affixed	iste	n	domain
"NC:urgentiste"	3	affixed	iste	n	domain
"NC:usurier"	4	affixed	ier	n	action
"NC:usurpateur"	4	affixed	eur	v	action
"NC:utilisateur"	1	affixed	eur	v	action
"NC:vacataire"	1	affixed	aire	v	action
"NC:vadrouilleur"	5	affixed	eur	v	action
"NC:vainqueur"	6	affixed	eur	v	action
"NC:valseur"	5	affixed	eur	v	action
"NC:valseuse"	5	affixed	eur	v	action
"NC:vanneur"	5	affixed	eur	v	action
"NC:vannier"	2	affixed	ier	n	object
"NC:varappeur"	3	affixed	eur	v	action
"NC:veilleur"	4	affixed	eur	v	action
"NC:vendeur"	2	affixed	eur	v	action
"NC:vengeur"	4	affixed	eur	v	action
"NC:vérifieur"	4	affixed	eur	v	action
"NC:vernisseur"	2	affixed	eur	v	action
"NC:versificateur"	3	affixed	eur	v	action
"NC:victimaire"	4	affixed	aire	n	object
"NC:vidangeur"	2	affixed	eur	v	action
"NC:videur"	6	affixed	eur	v	action
"NC:violeur"	4	affixed	eur	v	action
"NC:violoncelliste"	3	affixed	iste	n	domain
"NC:violoniste"	3	affixed	iste	n	domain
"NC:virologiste"	3	affixed	iste	n	domain
"NC:visagiste"	5	affixed	iste	n	object
"NC:visiteur"	1	affixed	eur	v	action
"NC:visiteuse"	2	affixed	eur	v	action
"NC:vitrier"	2	affixed	ier	n	object
"NC:vivant"	4	conversion	ant	v	action
"NC:viveur"	4	affixed	eur	v	action
"NC:vocaliste"	3	affixed	iste	v	action
"NC:voleur"	4	affixed	eur	v	action
"NC:voltigeur"	6	affixed	eur	v	action
"NC:votant"	1	conversion	ant	v	action
"NC:voyageur"	1	affixed	eur	v	action
"NC:xylophoniste"	3	affixed	iste	n	domain
"NC:zélateur"	4	affixed	eur	n	domain
"NC:zoologiste"	3	affixed	iste	n	domain
